,Bx,By,Bz
468,-2.7655,-12.8014,-7.31887
469,-3.02462,-12.7535,-7.29792
470,-3.22199,-12.4801,-7.67425
471,-3.24758,-12.4716,-7.70543
472,-2.95113,-12.7032,-7.52549
473,-3.55137,-12.2154,-7.96071
474,-2.95274,-12.5877,-7.61762
475,-3.82043,-11.9489,-8.45236
476,-3.70337,-12.2949,-7.98783
477,-3.62348,-12.3049,-7.99629
478,-3.61364,-12.3889,-7.87784
479,-3.57632,-12.9092,-6.90828
480,-4.24281,-12.4639,-7.41155
481,-3.79191,-12.8479,-7.22875
482,-3.7706,-12.6497,-7.64672
483,-3.61506,-12.6815,-7.69302
484,-3.51226,-12.4271,-8.17065
485,-3.27253,-11.6673,-9.22006
486,-3.44167,-11.8276,-9.03919
487,-3.47772,-11.9677,-8.8636
488,-3.27103,-12.0047,-8.93359
489,-2.85543,-12.5843,-8.14357
490,-3.22385,-12.552,-7.94899
491,-3.34914,-12.1289,-8.53066
492,-4.44963,-12.8996,-6.84952
493,-4.26534,-13.1758,-6.31992
494,-4.23665,-13.5394,-5.5488
495,-4.23013,-13.6563,-5.48234
496,-4.07768,-13.9126,-4.88989
497,-4.11289,-13.8448,-4.95104
498,-4.17951,-13.2317,-6.31976
499,-3.96371,-13.254,-6.58034
500,-4.1465,-13.1308,-6.69438
501,-4.0072,-13.2355,-6.6615
502,-4.03825,-13.233,-6.75726
503,-4.01368,-13.1424,-7.08432
504,-4.12007,-13.2282,-6.87899
505,-4.13774,-13.2797,-6.77948
506,-4.11617,-13.2694,-6.81899
507,-4.26031,-13.2118,-6.9198
508,-3.75396,-13.3344,-7.03159
509,-3.91391,-13.3441,-6.93801
510,-3.81775,-13.3289,-7.07836
511,-3.71403,-13.4525,-6.94514
512,-3.68649,-13.3599,-7.22045
513,-3.65649,-13.4172,-7.16078
514,-3.74255,-13.5294,-6.92506
515,-3.63005,-13.492,-7.1104
516,-3.56707,-13.3933,-7.42516
517,-3.54878,-13.3497,-7.56127
518,-3.76294,-13.0828,-7.90967
519,-3.94566,-13.2791,-7.36489
520,-3.64052,-13.4257,-7.31862
521,-3.74584,-13.1168,-7.81615
522,-3.65114,-12.7979,-8.38177
523,-3.69468,-12.816,-8.36939
524,-3.70075,-12.9665,-8.21075
525,-3.71783,-12.8164,-8.46268
526,-3.71377,-12.8324,-8.4393
527,-3.73713,-12.9531,-8.32308
528,-3.97429,-12.9666,-8.21391
529,-3.8433,-13.0041,-8.2203
530,-3.81013,-12.961,-8.30292
531,-3.83385,-12.9802,-8.2837
532,-3.84226,-12.9697,-8.30287
533,-3.54849,-12.8965,-8.57928
534,-3.59841,-12.7642,-8.77056
535,-3.37892,-12.7056,-8.91769
536,-3.92075,-12.6194,-8.85496
537,-4.02856,-12.6122,-8.83236
538,-3.30134,-12.4083,-9.45005
539,-3.52829,-12.486,-9.26084
540,-3.36198,-12.439,-9.38788
541,-3.30669,-12.5225,-9.28119
542,-3.61578,-12.4489,-9.27954
543,-3.54921,-12.3348,-9.50619
544,-3.55984,-12.6282,-9.13924
545,-3.95888,-12.5752,-9.10814
546,-3.83109,-12.6903,-9.02934
547,-3.697,-13.0837,-8.45213
548,-3.69835,-13.264,-8.13976
549,-3.52575,-13.4659,-7.91683
550,-4.01372,-13.2447,-8.04867
551,-3.80332,-13.5316,-7.693
552,-5.12815,-12.1616,-9.11876
553,-5.25967,-11.7456,-9.61689
554,-5.39635,-11.6884,-9.63254
555,-5.4291,-11.0667,-10.396
556,-5.23374,-11.2816,-10.28
557,-5.41802,-11.3438,-10.1093
558,-5.5498,-11.4518,-9.95056
559,-5.90113,-11.5293,-9.66984
560,-6.24549,-11.3406,-9.68823
561,-6.64374,-11.0049,-9.8301
562,-6.26528,-11.1567,-9.94915
563,-5.17776,-11.6261,-10.0996
564,-4.8722,-11.7078,-10.166
565,-4.6899,-11.9442,-10.0761
566,-4.61784,-12.0773,-9.98934
567,-4.26038,-12.0543,-10.1542
568,-4.57796,-11.9368,-10.2588
569,-4.49324,-11.9627,-10.2927
570,-4.88025,-11.6309,-10.5114
571,-4.79763,-11.6104,-10.5979
572,-4.77363,-11.5415,-10.7225
573,-4.88835,-11.6408,-10.5909
574,-4.68698,-11.7218,-10.6421
575,-5.13405,-11.6956,-10.4715
576,-4.54523,-11.8999,-10.54
577,-4.56474,-11.8537,-10.6303
578,-4.38356,-11.8879,-10.7036
579,-4.02959,-11.8567,-10.8745
580,-4.56276,-11.8425,-10.7529
581,-4.11673,-11.846,-10.9685
582,-5.09207,-11.8358,-10.593
583,-5.36515,-12.0118,-10.2967
584,-5.14969,-12.2823,-10.0839
585,-4.83675,-12.4251,-10.0605
586,-5.07935,-12.2892,-10.1027
587,-5.15634,-12.3122,-10.0565
588,-5.12859,-12.3956,-9.98968
589,-5.21799,-12.4214,-9.94988
590,-5.28681,-12.4446,-9.8992
591,-5.30881,-12.4502,-9.90336
592,-5.20591,-12.4265,-9.96747
593,-4.67507,-12.3789,-10.2899
594,-4.89991,-12.4476,-10.1267
595,-5.38924,-12.434,-9.94315
596,-4.6258,-12.585,-10.1433
597,-4.48357,-12.7421,-10.0371
598,-4.55678,-12.6498,-10.1209
599,-4.58773,-12.8662,-9.82374
600,-4.67791,-13.04,-9.56601
601,-4.80776,-12.9457,-9.62422
602,-5.02199,-13.187,-9.13093
603,-4.95946,-13.232,-9.10412
604,-5.81166,-12.3359,-9.8359
605,-5.8443,-12.059,-10.3135
606,-6.12547,-12.2194,-10.0077
607,-5.98411,-12.5439,-9.6476
608,-5.59541,-12.21,-10.3247
609,-5.7761,-12.1126,-10.4305
610,-6.19437,-11.913,-10.464
611,-5.71129,-12.1395,-10.4942
612,-5.2341,-12.4361,-10.3839
613,-4.05284,-13.0998,-10.1042
614,-2.9912,-13.7196,-9.6459
615,-3.23195,-13.7063,-9.61773
616,-3.50268,-13.5348,-9.76382
617,-3.72404,-13.5608,-9.66274
618,-3.68299,-13.6503,-9.57701
619,-3.89085,-13.7395,-9.41527
620,-4.02454,-13.6654,-9.50199
621,-3.85398,-13.8368,-9.35022
622,-3.74458,-13.8543,-9.43451
623,-4.0484,-13.3724,-9.95898
624,-4.33395,-13.1792,-10.1565
625,-6.1894,-11.4228,-11.0073
626,-7.20167,-10.7441,-11.2032
627,-7.63755,-10.5981,-11.0724
628,-7.31635,-10.4948,-11.3768
629,-6.92809,-10.8206,-11.3327
630,-7.12237,-10.133,-11.8703
631,-6.82466,-10.5937,-11.6632
632,-6.92173,-10.4726,-11.7358
633,-6.93191,-10.3714,-11.8513
634,-7.04539,-10.2758,-11.8977
635,-6.79107,-10.2376,-12.0632
636,-6.12283,-10.3094,-12.3393
637,-6.35426,-10.2374,-12.2659
638,-6.39989,-10.3468,-12.146
639,-6.37852,-10.9392,-11.6533
640,-6.54935,-10.9384,-11.5439
641,-6.50444,-11.1308,-11.46
642,-6.34134,-10.7826,-11.8533
643,-6.22893,-10.6983,-12.0176
644,-4.95904,-10.1767,-13.0363
645,-5.38,-10.6606,-12.5088
646,-5.75482,-10.9903,-12.0591
647,-5.87755,-11.2448,-11.715
648,-6.0201,-11.3512,-11.5932
649,-5.86941,-11.252,-11.7992
650,-5.79268,-11.5951,-11.5701
651,-5.83118,-11.4039,-11.7474
652,-5.59151,-11.7749,-11.5156
653,-5.41208,-12.1028,-11.2749
654,-5.3515,-12.3338,-11.0795
655,-6.50089,-11.4385,-11.319
656,-8.17906,-9.08798,-12.351
657,-8.06431,-8.9466,-12.5455
658,-8.15866,-9.32493,-12.2218
659,-7.90613,-9.81235,-11.9418
660,-7.8321,-9.7996,-11.961
661,-8.44392,-9.17198,-12.0832
662,-8.21854,-9.53814,-11.9717
663,-8.25815,-9.5763,-11.8827
664,-8.17848,-9.72496,-11.8201
665,-7.92341,-9.8434,-11.8882
666,-7.85135,-9.73715,-12.0263
667,-7.89429,-10.1295,-11.7117
668,-7.7445,-10.3211,-11.6461
669,-7.39933,-10.1968,-11.9932
670,-7.47685,-10.1136,-12.0755
671,-7.74032,-10.4045,-11.6762
672,-8.06971,-10.4984,-11.3767
673,-8.11368,-10.3755,-11.4972
674,-7.93814,-10.4387,-11.5798
675,-8.09286,-10.3184,-11.6143
676,-8.24137,-10.2553,-11.5891
677,-8.12801,-10.2493,-11.6868
678,-8.12223,-10.1279,-11.8155
679,-7.62794,-9.50536,-12.5764
680,-7.46668,-9.33654,-12.8388
681,-7.58599,-9.43061,-12.7696
